,ID,оквэд,расшифровка оквэд,Отрасль,Субъект,Округ,текущая стоимость бизнеса,ликвидационная стоимость бизнеса,расчёт возвратности средств для кредиторов,потребность в оборотных средствах,прибыль до налогообложения,задолженность по налогам,исполнительное производство без учета налогов,Лимит поручительства,ранг платёжеспособности,возраст организации,возбуждено производство по делу о несостоятельности (банкротстве),иностранные лица в органах управления (соучредители/руководители/участники) из недружественных юрисдикций,увольнение сотрудников (снижение среднесписочной численности),"привлечение к субсидиарной ответственности, взысканию убытков",наличие долга по платежам в бюджет,проводится выездная налоговая проверка,наличие информации о недостоверности сведений,директор или учредитель – дисквалифицированное лицо,наличие приостановления операций по счетам,динамика выручки по сравнению с предыдущим отчетным периодом (квартал),динамика совокупных активов,публикация в ефрсдюл о намерении обратиться в суд о признании лица банкротом кредитором,публикация в ефрсдюл о намерении обратиться в суд о признании лица банкротом должником,доля вычетов по ндс более 89%.,отклонение показателя налоговой нагрузки от среднеотраслевого показателя,коэффициент долга по 44-фз,коэффициент финансового рычага,налоговые разрывы 1 звена с покупателями и продавцами / выручка за 4 предыдущих квартала,налоговый долг/доход по налоговой декларации,отношение неоплаченной суммы по исполнительному производству (без налогов) и долга по налогам к выручке за предшествующие 12 месяцев,налоговые разрывы 2 звена с покупателями и продавцами / выручка за 4 предыдущих квартала,введена процедура банкротства/ликвидация,отсутствие расчетных счетов,"доля стоимости регистрируемого имущества в залоге от всего регистрируемого имущества составляет менее 0,5",рост доли стоимости залогового имущества за 6 месяцев,рост стоимости регистрируемого имущества по отношении к данным на 6 месяцев назад,лица в органах управления ранее привлечены к субсидиарной ответственности (взысканы убытки),расчеты через третьих лиц по отношению к выручке,изменение доли прибыли в выручке с начала текущего года по сравнению с аналогичным периодом прошлого года,коэффициент верификации кредиторской задолженности в бухгалтерской отчетности,коэффициент верификации данных основных средств в бухгалтерской отчетности,коэффициент верификации данных о выручке в бухгалтерской отчетности,коэффициент верификации данных о залогах в бухгалтерской отчетности,коэффициент обеспеченности собственным капиталом,коэффициент рентабельности активов,коэффициент покрытия процентов,коэффициент платежеспособности,коэффициент текущей ликвидности,46 нк рф > 3 месяцев
0,1000000001,01.13.3,Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина,"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях",Удмуртская Республика,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,41000.0,0.0,0.0,0.0,0.0,0.0,0.0,не может быть поручителем,6.240352331681801,0.8086823758352112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8293203023928752,0.0,0.0,0.0,0.0,0.0,-2.6719210905012134,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,-1.8043014445369647,0.0,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,2.005739415471644,0.0,0.0,2.734732122912796,2.2814506678337785,1.850697686571583,0.0,0.0,0.0
21338,1000022247,26.11.1,Производство электронных вакуумных ламп и трубок и прочих электронных вакуумных приборов,"Производство компьютеров, электронных и оптических изделий",Саратовская область,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,245117.5,0.59,53666009.67,0.0,109212589.74,18012619.86,не может быть поручителем,0.0,0.8086823758352112,0.0,0.0,0.0,0.0,-2.646302030096681,0.0,0.0,-0.7801276363997051,-2.8293203023928752,-2.3252280164928223,-2.068792453368104,0.0,0.0,0.0,-2.6719210905012134,0.0,-3.858936787752712,0.0,-2.177362143635184,-1.684782569007319,0.0,-1.5319933991216397,0.0,0.0,0.0,0.0,0.0,0.0,1.172736024440367,0.0,2.005739415471644,0.703867428758658,1.1721349848971097,0.0,-3.117088918400753,1.850697686571583,-4.528468736257782,-4.59145224664486,-3.196900622640974
765757,1000780911,72.1,Научные исследования и разработки в области естественных и технических наук,Научные исследования и разработки,Московская область,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,6011376.6,0.07,981840371.67,0.0,200538459.65,1637346.65,не может быть поручителем,0.0,0.8086823758352112,0.0,0.0,-0.9502469412940634,0.0,-2.646302030096681,0.0,0.0,0.0,0.0,1.1042685244517596,-2.068792453368104,0.0,0.0,0.0,-2.6719210905012134,0.0,-3.858936787752712,0.0,-2.177362143635184,-1.684782569007319,0.0,-1.5319933991216397,0.0,0.0,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,2.005739415471644,0.0,1.1721349848971097,0.0,0.0,-2.580589165577194,-4.528468736257782,-4.59145224664486,-3.196900622640974
143938,1000147352,26.11,Производство элементов электронной аппаратуры,"Производство компьютеров, электронных и оптических изделий",Новосибирская область,СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,17397025.0,0.06,518874296.0,0.0,314028023.86,37889044.13,не может быть поручителем,0.0,0.8086823758352112,0.0,0.0,0.0,0.0,-2.646302030096681,0.0,0.0,0.0,-2.8293203023928752,0.0,2.190160505434645,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,-2.177362143635184,-1.684782569007319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,2.005739415471644,0.0,0.0,2.734732122912796,-3.117088918400753,-2.580589165577194,-4.528468736257782,-4.59145224664486,-3.196900622640974
168272,1000172107,30.30.3,"Производство вертолетов, самолетов и прочих летательных аппаратов",Производство прочих транспортных средств и оборудования,Московская область,ЦЕНТРАЛЬНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,497949704.8,313646480.8,0.08,1206566854.33,3091000.0,1179703005.3,2084889065.11,171706794.75862077,48.34018258251067,0.8086823758352112,0.0,0.0,0.5613773961638217,0.0,-2.646302030096681,0.0,0.0,0.0,-2.8293203023928752,-2.3252280164928223,0.0,0.0,0.0,0.0,-2.6719210905012134,0.0,-3.858936787752712,0.0,-2.177362143635184,-1.684782569007319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.172736024440367,0.0,2.005739415471644,0.0,0.0,0.0,-3.117088918400753,-2.580589165577194,-4.528468736257782,-4.59145224664486,-3.196900622640974
1,1000000002,43.33,Работы по устройству покрытий полов и облицовке стен,Работы строительные специализированные,Республика Татарстан,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,не может быть поручителем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,2.734732122912796,0.0,1.850697686571583,0.0,0.0,0.0
2,1000000003,41.20,Строительство жилых и нежилых зданий,Строительство зданий,Красноярский край,СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,не может быть поручителем,6.740940979007901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,2.734732122912796,2.2814506678337785,1.850697686571583,0.0,0.0,0.0
3,1000000004,43.33,Работы по устройству покрытий полов и облицовке стен,Работы строительные специализированные,Пермский край,ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1131998.6,139998.6,0.03,1278333.33,197000.0,0.0,0.0,390344.34482758626,19.48774828695793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,0.0,-3.117088918400753,1.850697686571583,-4.528468736257782,-4.59145224664486,0.0
4,1000000005,41.20,Строительство жилых и нежилых зданий,Строительство зданий,Забайкальский край,ДАЛЬНЕВОСТОЧНЫЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,861.0,861.0,0.07,0.0,0.0,0.0,0.0,не может быть поручителем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6719210905012134,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,2.734732122912796,2.2814506678337785,1.850697686571583,-4.528468736257782,-4.59145224664486,0.0
5,1000000006,96.02,Предоставление услуг парикмахерскими и салонами красоты,Деятельность по предоставлению прочих персональных услуг,Челябинская область,УРАЛЬСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,0.0,0.0,0.0,144333.33,0.0,141.89,0.0,не может быть поручителем,0.0,0.8086823758352112,0.0,0.0,0.0,0.0,-2.646302030096681,0.0,-1.8240556519999087,0.0,0.0,0.0,2.190160505434645,0.0,0.0,0.0,0.0,0.0,-3.858936787752712,0.0,0.0,0.0,0.0,0.0,0.0,1.0094676012019006,0.0,0.0,0.0,0.0,-2.276470311759446,0.0,0.0,0.0,0.0,0.0,0.0,1.850697686571583,-4.528468736257782,-4.59145224664486,0.0
